uid,bid,flag,click,buy,fav,cart,diff_day,normalization
10944750,13451,0,6,0,2,0,11,1.0
10944750,21110,0,1,0,0,0,8,0.16666666666666666
10944750,8689,0,3,0,2,0,44,0.5
10944750,18575,0,1,0,0,0,44,0.16666666666666666
10944750,15761,0,4,0,0,0,52,0.6666666666666666
10944750,15315,0,2,0,0,0,14,0.3333333333333333
10944750,15980,0,1,0,0,0,44,0.16666666666666666
10944750,1996,0,4,0,0,0,44,0.6666666666666666
10944750,23251,0,3,0,0,0,1,0.5
10944750,6290,0,3,0,0,0,26,0.5
10944750,14580,0,1,0,0,0,44,0.16666666666666666
10944750,7373,0,4,0,0,0,4,0.6666666666666666
10944750,4078,0,1,0,0,0,31,0.16666666666666666
10944750,8628,0,5,0,0,0,5,0.8333333333333334
10944750,25687,0,20,0,1,0,9,1.0
10944750,9817,0,2,0,0,0,4,0.1
10944750,3631,0,1,0,0,0,22,0.05
10944750,1461,0,14,0,0,0,5,0.7
10944750,24869,0,1,0,0,0,58,0.05
10944750,7150,0,2,1,0,0,8,0.15
10944750,5357,0,1,0,0,0,38,0.05
10944750,7737,0,1,0,0,0,16,0.05
10944750,11638,0,1,0,0,0,38,0.05
10944750,11026,0,1,0,0,0,44,0.05
10944750,10480,0,2,0,0,0,44,0.1
10944750,8719,0,6,0,0,0,9,0.3
10944750,1472,0,1,0,0,0,44,0.05
10944750,12490,0,3,0,0,0,4,0.15
10944750,28504,0,1,0,0,0,22,0.05
10944750,28011,0,1,0,0,0,44,0.05
10944750,11022,0,5,0,0,0,44,0.25
10944750,2826,0,2,0,0,0,5,0.1
10944750,25372,1,1,0,0,0,5,0.05
10944750,6080,0,1,0,0,0,22,0.05
10944750,11942,0,1,0,1,0,44,0.05
10944750,19166,0,1,0,0,0,45,0.05
10944750,12599,0,4,0,0,0,4,0.2
10944750,11167,0,2,0,0,0,5,0.1
12028500,622,0,1,0,0,0,40,0.05
12028500,27272,0,1,0,0,0,40,0.05
12028500,3032,0,1,0,0,0,40,0.05
12028500,13747,0,2,0,0,0,40,0.1
12028500,679,0,1,0,0,0,41,0.05
1206500,4571,0,1,0,0,0,20,0.05
1206500,7868,0,1,0,0,0,20,0.05
12154500,8689,0,5,2,0,0,27,0.35
12154500,20956,0,4,0,0,0,5,0.2
12154500,11605,0,1,0,0,0,5,0.05
12154500,2853,0,7,0,0,0,6,0.35
12154500,4300,0,1,0,0,0,16,0.05
12154500,5267,0,1,0,0,0,19,0.05
12154500,24687,0,1,0,0,0,36,0.05
12154500,19102,0,1,0,0,0,30,0.05
12154500,21336,0,1,0,0,0,21,0.05
12154500,1337,0,1,0,0,0,16,0.05
12154500,1758,0,4,0,0,0,30,0.2
12154500,647,0,1,0,0,0,15,0.05
12154500,9153,0,3,0,0,0,8,0.15
12154500,11922,0,2,0,0,0,43,0.1
12154500,4949,0,4,0,0,0,19,0.2
12154500,13240,0,4,0,0,0,49,0.2
12154500,24978,0,1,0,0,0,40,0.05
12154500,13489,0,7,0,0,0,61,0.35
12154500,2739,0,1,0,0,0,58,0.05
12154500,14818,0,1,0,0,0,49,0.05
12154500,9653,0,1,0,0,0,5,0.05
12154500,4694,0,1,0,0,0,50,0.05
12154500,282,0,1,0,0,0,4,0.05
12154500,2683,0,8,0,0,0,35,0.4
12154500,15086,0,1,1,0,0,22,0.1
12154500,5807,0,2,0,0,0,57,0.1
12154500,10176,0,1,0,0,0,2,0.05
12154500,7695,0,1,0,0,0,29,0.05
12154500,20300,0,3,0,0,0,33,0.15
12154500,15934,0,5,0,0,0,19,0.25
12154500,11176,0,2,0,0,0,13,0.1
12154500,21657,0,4,0,0,0,30,0.2
12154500,19149,0,1,0,0,0,30,0.05
12154500,14261,0,5,0,0,0,28,0.25
12154500,25488,0,5,0,0,0,19,0.25
12154500,4078,0,1,0,0,0,58,0.05
12154500,18292,0,1,0,0,0,17,0.05
12154500,19421,0,1,0,0,0,22,0.05
12154500,7741,0,1,0,0,0,57,0.05
12154500,5041,0,1,0,0,0,4,0.05
12154500,18571,0,1,0,0,0,55,0.05
12154500,13793,0,2,0,0,0,20,0.1
12154500,9804,0,1,0,0,0,30,0.05
12154500,6880,0,1,0,0,0,40,0.05
12154500,5297,0,2,0,0,0,27,0.1
12154500,14580,0,1,0,0,0,58,0.05
12154500,25723,0,1,0,0,0,5,0.05
12154500,20342,0,1,0,0,0,36,0.05
12154500,11328,0,13,0,0,0,21,0.65
12154500,4281,0,1,0,0,0,21,0.05
12154500,20207,0,1,0,0,0,61,0.05
12154500,14065,0,2,0,0,0,33,0.1
12154500,20909,0,1,0,0,0,41,0.05
12154500,3627,0,6,0,0,0,21,0.3
12154500,9471,0,6,2,0,0,27,0.4
12154500,10151,0,1,0,0,0,19,0.05
12154500,26722,0,2,0,0,0,22,0.1
12154500,15923,0,1,0,0,0,25,0.05
12154500,9838,0,1,0,0,0,25,0.05
12154500,637,0,1,0,0,0,17,0.05
12154500,11573,0,14,0,0,0,22,0.7
12154500,9506,0,1,0,0,0,48,0.05
12154500,13020,0,1,0,0,0,41,0.05
12154500,17640,1,126,5,0,0,4,1.0
12154500,27940,0,1,0,0,0,57,0.007633587786259542
12154500,28410,0,2,0,0,0,22,0.015267175572519083
12154500,11776,0,1,0,0,0,49,0.007633587786259542
12154500,21838,0,6,0,0,0,19,0.04580152671755725
12154500,2119,0,1,0,0,0,36,0.007633587786259542
12154500,27492,0,1,0,0,0,16,0.007633587786259542
12154500,29547,0,4,0,0,0,19,0.030534351145038167
12154500,24015,0,1,0,0,0,40,0.007633587786259542
12154500,17940,0,1,0,0,0,56,0.007633587786259542
12154500,20411,0,3,0,0,0,21,0.022900763358778626
12154500,28357,0,1,0,0,0,21,0.007633587786259542
12154500,19440,0,1,0,0,0,43,0.007633587786259542
12154500,2568,0,28,4,0,0,37,0.24427480916030533
12154500,9856,0,3,0,0,0,30,0.022900763358778626
12154500,9305,0,1,0,0,0,25,0.007633587786259542
12154500,23797,0,1,0,0,0,1,0.007633587786259542
12154500,14864,0,2,0,0,0,9,0.015267175572519083
12154500,12173,0,2,0,0,0,58,0.015267175572519083
12154500,15018,0,1,0,0,0,16,0.007633587786259542
12154500,29099,0,7,0,0,0,13,0.05343511450381679
12154500,15138,0,1,0,0,0,50,0.007633587786259542
12154500,11977,0,2,0,0,0,57,0.015267175572519083
12154500,19835,0,4,0,0,0,61,0.030534351145038167
12154500,22274,0,1,0,0,0,10,0.007633587786259542
12154500,16599,0,1,0,0,0,30,0.007633587786259542
12154500,19197,0,16,0,0,0,2,0.12213740458015267
12154500,1372,0,1,0,0,0,43,0.007633587786259542
12154500,24977,0,2,0,0,0,19,0.015267175572519083
12154500,21672,0,5,0,0,0,22,0.03816793893129771
12154500,26318,0,11,0,0,0,19,0.08396946564885496
12154500,1228,0,3,0,0,0,17,0.022900763358778626
12154500,26171,0,1,0,0,0,30,0.007633587786259542
12154500,3047,0,2,0,0,0,49,0.015267175572519083
12154500,21351,0,1,0,0,0,21,0.007633587786259542
12154500,10352,0,1,0,0,0,28,0.007633587786259542
12154500,16775,0,6,0,0,0,16,0.04580152671755725
12154500,18075,0,1,0,0,0,22,0.007633587786259542
12154500,27483,0,2,0,0,0,4,0.015267175572519083
12154500,27568,0,12,0,0,0,16,0.0916030534351145
12154500,3534,0,1,0,0,0,51,0.007633587786259542
12154500,19962,0,12,0,0,0,16,0.0916030534351145
12154500,679,0,1,0,0,0,27,0.007633587786259542
12154500,18084,0,3,0,0,0,58,0.022900763358778626
12154500,4443,0,15,0,0,0,57,0.11450381679389313
12154500,2257,0,1,0,0,0,41,0.007633587786259542
12154500,15089,0,1,0,0,0,35,0.007633587786259542
12154500,979,0,1,0,0,0,50,0.007633587786259542
12154500,16406,0,1,0,0,0,6,0.007633587786259542
12154500,8676,0,2,0,0,0,29,0.015267175572519083
12154500,19417,0,1,0,0,0,1,0.007633587786259542
12154500,2197,0,5,0,0,0,30,0.03816793893129771
12154500,23338,0,2,0,0,0,19,0.015267175572519083
12154500,7868,1,17,3,0,0,6,0.15267175572519084
12154500,21911,0,3,0,0,0,30,0.022900763358778626
12154500,1076,0,1,0,0,0,5,0.007633587786259542
12154500,3228,0,4,0,0,0,4,0.030534351145038167
12154500,9549,0,19,4,0,0,29,0.17557251908396945
12154500,5469,0,1,0,0,0,35,0.007633587786259542
12154500,1498,0,1,0,0,0,20,0.007633587786259542
12154500,2179,0,1,0,0,0,56,0.007633587786259542
12154500,19193,0,1,0,0,0,36,0.007633587786259542
12154500,27791,0,6,1,0,0,16,0.05343511450381679
12154500,11080,0,2,0,0,0,41,0.015267175572519083
12154500,1481,0,1,0,0,0,30,0.007633587786259542
12154500,4366,0,14,0,0,0,30,0.10687022900763359
12154500,16578,0,2,0,0,0,33,0.015267175572519083
12154500,11670,0,1,0,0,0,61,0.007633587786259542
12154500,5470,0,12,0,0,0,1,0.0916030534351145
12154500,17418,0,4,0,0,0,25,0.030534351145038167
